articleCode,title,category,price($)
1058174007,2-piece Printed Set,kids_girls_clothing_topstshirts_tshirts,24.99
1058174003,2-piece Printed Set,kids_girls_clothing_topstshirts_tshirts,24.99
1058174002,2-piece Printed Set,kids_girls_clothing_topstshirts_tshirts,24.99
1035221001,2-piece Set,kids_girls_setsoutfits,24.99
1021186003,2-piece Cotton Set,kids_boys_setsoutfits,24.99
0889759006,2-piece Cotton Set,kids_girls_clothing_topstshirts_tshirts,14.99
0738873019,3-pack Joggers,kids_boys_clothing_trousersjeans_joggerssweatpants,29.99
0749176020,5-pack Cotton T-shirts,kids_boys_clothing_tshirtsshirts_tshirts,24.99
0928699011,Wide High Jeans,kids_girls_clothing_trousersjeans_jeans_wide,29.99
0309864019,Skinny Fit Jeans,kids_boys_clothing_trousersjeans_jeans_skinny,12.99
1022630003,Cotton Jersey Dress,kids_girls_clothing_dresses,9.99
0748516011,7-pack Boxer Shorts,kids_boys_clothing_underwear,24.99
0870530078,Patterned Jersey Dress,kids_girls_clothing_dresses,4.99
0803160019,Comfort Slim Fit Jeans,kids_boys_clothing_trousersjeans_jeans_slim,19.99
0979103006,Relaxed Fit Super Soft Jeans,kids_boys_clothing_trousersjeans_jeans_relaxed,19.99
0801431029,Cotton Chinos,kids_boys_clothing_trousersjeans_trousers,9.99
0464695004,3-pack Jersey Tank Tops,kids_girls_clothing_topstshirts_tanktops,14.99
0686458108,7-pack Cotton Briefs,kids_girls_clothing_underwear,19.99
0796555059,Interactive-design Top,kids_girls_clothing_topstshirts_tshirts,9.99
1001876011,Printed Soccer Set,kids_boys_sportswear_tops,19.99
1037475003,Twill Cap,kids_oldergirls_accessories_hats,12.99
1036132004,Cotton Sweatshorts,kids_girls_clothing_shorts,7.99
0326885081,Jersey Joggers,kids_boys_clothing_trousersjeans_joggerssweatpants,9.99
1010271004,Cotton Poplin Shorts,kids_girls_clothing_shorts,9.99
1037233003,Patterned Twill Cap,kids_olderboys_accessories_hats,12.99
1080644002,Sunglasses,kids_girls_accessories_sunglasses,6.99
0977411002,2-pack Relaxed Fit Joggers,kids_boys_clothing_trousersjeans_joggerssweatpants,34.99
1059606002,Twill Cap with Motif,kids_olderboys_accessories_hats,9.99
0718076063,Cotton T-shirt,kids_boys_clothing_tshirtsshirts_tshirts,5.99
0938686006,3-pack Boxer Shorts,kids_boys_clothing_underwear,14.99
1034625001,Straw Hat,kids_accessories_hats,12.99
0689014008,Cargo Pants,kids_clothing_trousersjeans_trousers,29.99
0866265015,Cotton Cargo Pants,kids_clothing_trousersjeans_trousers,14.99
1062019002,2-piece Cotton Jersey Set,kids_girls_clothing_topstshirts_tshirts,19.99
1010319002,Cargo Joggers,kids_clothing_trousersjeans_joggerssweatpants,14.99
1027527001,Twill Shacket,kids_girls_outerwear_jackets,29.99
0932743024,5-pack Cotton Leggings,kids_clothing_trousersjeans_leggingstreggings,39.99
1062019001,2-piece Cotton Jersey Set,kids_girls_clothing_topstshirts_tshirts,19.99
0686895001,5-pack Cotton Tank Tops,kids_boys_clothing_tshirtsshirts_tanktops,19.99
