articleCode,title,category,price($)
0963087001,Wide-leg Twill Pants,ladies_trousers_highwaisted,17.99
0963087016,Wide-leg Twill Pants,ladies_trousers_highwaisted,17.99
0939703036,V-neck Blouse,ladies_shirtsblouses_blouses,17.99
0895610022,Dress Pants,ladies_trousers_highwaisted,34.99
1058630002,Oversized Cotton Shirt,ladies_shirtsblouses_shirts,24.99
0751471042,Slacks,ladies_trousers_chinosslacks,19.99
0935727027,Single-breasted Jacket,ladies_blazers,34.99
1045751004,Rib-knit Cardigan,ladies_cardigansjumpers_cardigans,19.99
1058833003,Printed Sweatshirt,ladies_nightwear_loungewear,29.99
0882925002,Ribbed Tank Top,ladies_basics_tops_vests,7.99
1059081003,Oversized Shirt,ladies_shirtsblouses_shirts,29.99
1058454002,Flounced Maxi Dress,ladies_dresses_aline,49.99
1056009002,Loose Straight High Jeans,ladies_jeans_loose,39.99
1035942001,Single-breasted Jacket,ladies_blazers,49.99
1024613002,Oversized Hooded Jacket,ladies_basics_tops_longsleeve,29.99
1061025002,Cotton Dress with Drawstring,ladies_dresses_mididresses,39.99
1051281001,Jersey Pants,ladies_basics_trousersleggings,17.99
0456163060,Hoodie,ladies_basics_tops_longsleeve,19.99
1048754001,Wrapover Cotton Blouse,ladies_shirtsblouses_blouses,34.99
1054338001,Floral Puff-sleeved Dress,ladies_dresses_mididresses,39.99
1031490001,Short Hooded Sweatshirt Jacket,ladies_basics_tops_longsleeve,17.99
1005559011,Patterned Shirt Dress,ladies_dresses_mididresses,24.99
1058841001,Garter-stitched Knit Pants,ladies_nightwear_loungewear,29.99
1026309002,Knit Cardigan with Embroidery,ladies_cardigansjumpers_cardigans,29.99
0768912001,Cotton Leggings,ladies_basics_trousersleggings,12.99
1031490002,Short Hooded Sweatshirt Jacket,ladies_basics_tops_longsleeve,17.99
0986666003,Double-breasted Jacket,ladies_blazers,49.99
0572998007,Mom High Ankle Jeans,ladies_jeans_loose,29.99
0932278001,Cotton-blend Shirt,ladies_shirtsblouses_shirts,17.99
1050428001,H&M+ Straight-cut Blazer,ladies_plus_jacketsblazers,49.99
1063196001,Garter-stitched Knit Crop Top,ladies_nightwear_loungewear,17.99
1058842001,Garter-stitched Knit Cardigan,ladies_cardigansjumpers_cardigans,29.99
1059402001,Linen-blend Shirt,ladies_shirtsblouses_linenshirts,29.99
1000128001,Ribbed Henley Shirt,ladies_basics_tops_longsleeve,14.99
1025457005,Skinny High Jeans,ladies_jeans_skinny,24.99
1063867001,Ribbed Top,ladies_nightwear_loungewear,24.99
0941666030,Slim Mom High Ankle Jeans,ladies_jeans_loose,24.99
1073157002,Wide High Ankle Jeans,ladies_jeans_loose,29.99
0979329017,Cotton T-shirt,ladies_tops_shortsleeve,12.99
1060060007,Smocked Crop Top,ladies_tops_puffsleeve,24.99
0983928005,Long Hooded Sweatshirt Jacket,ladies_basics_tops_longsleeve,34.99
0932278008,Cotton-blend Shirt,ladies_shirtsblouses_shirts,17.99
1031696005,Wide-cut Blouse,ladies_shirtsblouses_blouses,24.99
0909093028,Oversized Cotton Shirt,ladies_shirtsblouses_shirts,24.99
0987275008,Wide-cut Pants,ladies_trousers_highwaisted,34.99
0983378003,Tie Belt Shirt Dress,ladies_dresses_shirt,29.99
